Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots,4621.881,8.0,American Shots,52,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Left Wing 3,Pullup,,,,
AU Shots,4843.908,8.0,American Shots,53,,,,,Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,4990.061,8.0,American Shots,54,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,21-11,,Highly Contested,Close Shot Middle,Hook,,,,
AU Shots,5114.914,8.0,American Shots,55,,,,,No Foul,,,,,Miss 2,#4 Kade Sebastian,,,,5-0,,Highly Contested,Rim,Layup,,,,
AU Shots,5144.938,8.0,American Shots,56,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,5148.152,8.0,American Shots,57,,,,,Foul,,,,,Made 2,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,5233.888,8.0,American Shots,58,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,10-6,,Wide Open,Rim,Layup,,,,
AU Shots,5373.112,8.0,American Shots,59,,,,,Foul,,,,,Made 2,#23 Greg Jones,,,,10-6,,Lightly Contested,Rim,Layup,,,,
AU Shots,5459.732,8.0,American Shots,60,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,10-6,,Lightly Contested,Rim,Layup,,,,
AU Shots,5461.521,8.0,American Shots,61,,,,,No Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Rim,Putback,,,,
AU Shots,5666.626,8.0,American Shots,62,,,,,No Foul,,,,,Made 2,#4 Kade Sebastian,,,,21-11,,Wide Open,Rim,Layup,,,,
AU Shots,5710.205,8.0,American Shots,63,,,,,No Foul,,,,,Made 3,#4 Kade Sebastian,,,,22+,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,
AU Shots,5891.212,8.0,American Shots,64,,,,,No Foul,,,,,Made 2,#4 Kade Sebastian,,,,22+,,Lightly Contested,Rim,Layup,,,,
AU Shots,6094.425,8.0,American Shots,65,,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,22+,,Highly Contested,Close Shot Right,Layup,,,,
AU Shots,6365.341,8.0,American Shots,66,,,,,No Foul,,,,,Miss 2,#33 Matt Mayock,,,,5-0,,Highly Contested,Close Shot Right,Floater,,,,
AU Shots,6467.78,8.0,American Shots,67,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,5-0,,Highly Contested,Top of Key 3,Catch & Shoot,,,,
