Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots,4767.955,8.0,American Shots,55,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,10-6,,Highly Contested,Close Shot Right,Pullup,,,,
AU Shots,4834.202,8.0,American Shots,56,,,,,No Foul,,,,,Miss 3,#33 Matt Mayock,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,4894.789,8.0,American Shots,57,,,,,No Foul,,,,,Made 3,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,
AU Shots,4988.334,8.0,American Shots,58,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,5019.924,8.0,American Shots,59,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,21-11,,Highly Contested,Top of Key 3,Catch & Shoot,,,,
AU Shots,5027.981,8.0,American Shots,60,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Blocked,Close Shot Right,Layup,,,,
AU Shots,5055.051,8.0,American Shots,61,,,,,No Foul,,,,,Made 2,#23 Greg Jones,,,,5-0,,Highly Contested,Rim,Hook,,,,
AU Shots,5126.409,8.0,American Shots,62,,,,,No Foul,,,,,Made 3,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,
AU Shots,5281.4,8.0,American Shots,63,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,22+,,Wide Open,Rim,Layup,,,,
AU Shots,5325.262,8.0,American Shots,64,,,,,No Foul,,,,,Made 2,#7 Wyatt Nausadis,,,,22+,,Wide Open,Rim,Layup,,,,
AU Shots,5404.139,8.0,American Shots,65,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Right Corner 3,Catch & Shoot,,,,
AU Shots,5523.148,8.0,American Shots,66,,,,,No Foul,,,,,Made 2,#12 Geoff Sprouse,,,,22+,,Wide Open,Rim,Layup,,,,
AU Shots,5594.116,8.0,American Shots,67,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,22+,,Lightly Contested,Right Wing 3,Pullup,,,,
AU Shots,5608.901,8.0,American Shots,68,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Left Wing 3,Pullup,,,,
AU Shots,5748.917,8.0,American Shots,69,,,,,Foul,,,,,Made 2,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Rim,Layup,,,,
AU Shots,5866.418,8.0,American Shots,70,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,5951.531,8.0,American Shots,71,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,22+,,Blocked,Right Wing 3,Catch & Shoot,,,,
AU Shots,5956.454,8.0,American Shots,72,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,6287.54,8.0,American Shots,73,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,10-6,,Blocked,Close Shot Middle,Layup,,,,
