Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots @VCU,3059.9,8.0,American Shots,37,,,,,Foul,,,,,Miss 2,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Close Shot Right,Fadeaway,,,,
AU Shots @VCU,3142.592,8.0,American Shots,38,,,,,No Foul,,,,,Made 2,#35 Chris Eagan,,,,21-11,,Highly Contested,Close Shot Right,Hook,,,,
AU Shots @VCU,3161.036,8.0,American Shots,39,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,22+,,Blocked,Rim,Layup,,,,
AU Shots @VCU,3194.715,8.0,American Shots,40,,,,,No Foul,,,,,Miss 2,#4 Kade Sebastian,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots @VCU,3580.824,8.0,American Shots,41,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,10-6,,Highly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots @VCU,3599.998,8.0,American Shots,42,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Right Wing 3,Pullup,,,,
AU Shots @VCU,3649.308,8.0,American Shots,43,,,,,Foul,,,,,Made 2,#23 Greg Jones,,,,22+,,Highly Contested,Close Shot Middle,Floater,,,,
AU Shots @VCU,3729.655,8.0,American Shots,44,,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,21-11,,Lightly Contested,Close Shot Middle,Hook,,,,
AU Shots @VCU,3754.376,8.0,American Shots,45,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,21-11,,Highly Contested,Right Wing 3,Pullup,,,,
AU Shots @VCU,3821.997,8.0,American Shots,46,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots @VCU,3862.734,8.0,American Shots,47,,,,,No Foul,,,,,Made 2,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Close Shot Left,Fadeaway,,,,
AU Shots @VCU,4068.797,8.0,American Shots,48,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,22+,,Wide Open,Rim,Layup,,,,
AU Shots @VCU,4101.252,8.0,American Shots,49,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,22+,,Wide Open,Right Wing 3,Catch & Shoot,,,,
AU Shots @VCU,4244.315,8.0,American Shots,50,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots @VCU,4351.227,8.0,American Shots,51,,,,,No Foul,,,,,Made 3,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots @VCU,4422.704,8.0,American Shots,52,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,10-6,,Highly Contested,Close Shot Middle,Floater,,,,
AU Shots @VCU,4505.752,8.0,American Shots,53,,,,,Foul,,,,,Miss 2,#23 Greg Jones,,,,5-0,,Blocked,Rim,Layup,,,,
AU Shots @VCU,4679.325,8.0,American Shots,54,,,,,No Foul,,,,,Made 3,#7 Wyatt Nausadis,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,
AU Shots @VCU,4708.405,8.0,American Shots,55,,,,,No Foul,,,,,Made 2,#4 Kade Sebastian,,,,22+,,Wide Open,Rim,Layup,,,,
AU Shots @VCU,4756.103,8.0,American Shots,56,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,10-6,,Highly Contested,Top of Key 3,Catch & Shoot,,,,
AU Shots @VCU,5257.043,8.0,American Shots,57,,,,,No Foul,,,,,Made 3,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Right Wing 3,Step Back,,,,
AU Shots @VCU,5355.85,8.0,American Shots,58,,,,,No Foul,,,,,Made 2,#3 Dean Hogans,,,,5-0,,Lightly Contested,Rim,Layup,,,,
AU Shots @VCU,5687.758,8.0,American Shots,59,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Top of Key 3,Step Back,,,,
AU Shots @VCU,5690.361,8.0,American Shots,60,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,5-0,,Highly Contested,Rim,Layup,,,,
AU Shots @VCU,5715.361,8.0,American Shots,61,,,,,Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,22+,,Blocked,Rim,Layup,,,,
AU Shots @VCU,5877.96,8.0,American Shots,62,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Middle,Floater,,,,
AU Shots @VCU,5899.269,8.0,American Shots,63,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Right Wing 3,Pullup,,,,
AU Shots @VCU,5968.826,8.0,American Shots,64,,,,,No Foul,,,,,Miss 2,#16 Luke Brown,,,,21-11,,Wide Open,Close Shot Right,Fadeaway,,,,
AU Shots @VCU,6012.471,8.0,American Shots,65,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,22+,,Highly Contested,Left Wing 3,Pullup,,,,
AU Shots @VCU,6046.836,8.0,American Shots,66,,,,,Foul,,,,,Miss 2,#35 Chris Eagan,,,,21-11,,Blocked,Close Shot Middle,Hook,,,,
AU Shots @VCU,6114.583,8.0,American Shots,67,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,
