Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-15 American vs Central Pennsylvania,3315.725,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Close Shot Left,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,3348.341,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,3372.388,8.0,American Shots,39,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,3440.519,8.0,American Shots,40,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Highly Contested,Rim,Floater,,,,,,,,
2025-11-15 American vs Central Pennsylvania,3471.937,8.0,American Shots,41,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,5-0,,Highly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-15 American vs Central Pennsylvania,3575.907,8.0,American Shots,42,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Floater,,,,,,,,
2025-11-15 American vs Central Pennsylvania,3644.897,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-15 American vs Central Pennsylvania,3678.662,8.0,American Shots,44,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,3947.226,8.0,American Shots,45,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Close Shot Left,Floater,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4021.982,8.0,American Shots,46,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4125.462,8.0,American Shots,47,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4155.631,8.0,American Shots,48,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4209.203,8.0,American Shots,49,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4453.699,8.0,American Shots,50,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4512.464,8.0,American Shots,51,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Hook,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4542.383,8.0,American Shots,52,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4834.748,8.0,American Shots,53,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,10-6,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4875.198,8.0,American Shots,54,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,22+,,Wide Open,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4880.699,8.0,American Shots,55,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#3 Dean Hogans,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4922.201,8.0,American Shots,56,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,22+,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4927.799,8.0,American Shots,57,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Right Corner 3,Step Back,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4934.746,8.0,American Shots,58,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#3 Dean Hogans,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-15 American vs Central Pennsylvania,4940.202,8.0,American Shots,59,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#3 Dean Hogans,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,5020.593,8.0,American Shots,60,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#3 Dean Hogans,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-15 American vs Central Pennsylvania,5044.636,8.0,American Shots,61,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,5049.025,8.0,American Shots,62,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,5071.701,8.0,American Shots,63,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#16 Luke Brown,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-15 American vs Central Pennsylvania,5104.451,8.0,American Shots,64,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Hook,,,,,,,,
2025-11-15 American vs Central Pennsylvania,5186.58,8.0,American Shots,65,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,5211.794,8.0,American Shots,66,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#16 Luke Brown,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,5245.004,8.0,American Shots,67,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,5500.818,8.0,American Shots,68,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#9 Matthew Casey,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
