Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
Au Shots,5596.182,8.0,American Shots,59,,,,,No Foul,,,,,Miss 2,#4 Kade Sebastian,,,,21-11,,Highly Contested,Rim,Putback,,,,
Au Shots,5597.48,8.0,American Shots,60,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Putback,,,,
Au Shots,5701.862,8.0,American Shots,61,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
Au Shots,5998.48,8.0,American Shots,62,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,
Au Shots,6126.704,8.0,American Shots,63,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,22+,,Wide Open,Top of Key 3,Catch & Shoot,,,,
Au Shots,6322.679,8.0,American Shots,64,,,,,No Foul,,,,,Made 2,#33 Matt Mayock,,,,22+,,Lightly Contested,Rim,Layup,,,,
Au Shots,6426.641,8.0,American Shots,65,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,22+,,Highly Contested,Right Wing 3,Pullup,,,,
Au Shots,6485.37,8.0,American Shots,66,,,,,No Foul,,,,,Made 3,#2 Madden Collins,,,,22+,,Lightly Contested,Left Wing 3,Step Back,,,,
Au Shots,6557.462,8.0,American Shots,67,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,21-11,,Blocked,Right Wing 3,Pullup,,,,
Au Shots,6562.522,8.0,American Shots,68,,,,,No Foul,,,,,Made 3,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Right Wing 3,Catch & Shoot,,,,
Au Shots,6656.952,8.0,American Shots,69,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Right Wing 3,Pullup,,,,
